#FieldID	Field	Category	UKBCategoryTreePath
2907	Ever stopped smoking for 6+ months	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
2926	Number of unsuccessful stop-smoking attempts	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
2936	Likelihood of resuming smoking	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
2946	Father's age	Family history	UK Biobank Assessment Centre > Touchscreen > Family history
2956	General pain for 3+ months	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Pain
2966	Age high blood pressure diagnosed	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
2976	Age diabetes diagnosed	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
2986	Started insulin within one year diagnosis of diabetes	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
3005	Fracture resulting from simple fall	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
3059	Result ranking	Spirometry	UK Biobank Assessment Centre > Physical measures > Spirometry
3060	Time of blow measurement	Spirometry	UK Biobank Assessment Centre > Physical measures > Spirometry
3061	Acceptability of each blow result	Spirometry	UK Biobank Assessment Centre > Physical measures > Spirometry
3062	Forced vital capacity (FVC)	Spirometry	UK Biobank Assessment Centre > Physical measures > Spirometry
3063	Forced expiratory volume in 1-second (FEV1)	Spirometry	UK Biobank Assessment Centre > Physical measures > Spirometry
3064	Peak expiratory flow (PEF)	Spirometry	UK Biobank Assessment Centre > Physical measures > Spirometry
3065	Ordering of blows	Spirometry	UK Biobank Assessment Centre > Physical measures > Spirometry
3066	Data points for blow	Spirometry	UK Biobank Assessment Centre > Physical measures > Spirometry
3077	Seating box height	Anthropometry	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
3079	Pace-maker	Operations	UK Biobank Assessment Centre > Verbal interview > Operations
3081	Foot measured for bone density	Bone-densitometry of heel	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
3082	Fractured heel	Bone-densitometry of heel	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
3083	Heel quantitative ultrasound index (QUI), manual entry	Bone-densitometry of heel	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
3084	Heel bone mineral density (BMD), manual entry	Bone-densitometry of heel	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
3085	Heel Broadband ultrasound attenuation (BUA), manual entry	Bone-densitometry of heel	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
3086	Speed of sound through heel, manual entry	Bone-densitometry of heel	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
3088	Contra-indications for spirometry	Spirometry	UK Biobank Assessment Centre > Physical measures > Spirometry
3089	Caffeine drink within last hour	Spirometry	UK Biobank Assessment Centre > Physical measures > Spirometry
3090	Used an inhaler for chest within last hour	Spirometry	UK Biobank Assessment Centre > Physical measures > Spirometry
3132	Spirometry device serial number	Spirometry	UK Biobank Assessment Centre > Physical measures > Spirometry
3137	Number of measurements made	Spirometry	UK Biobank Assessment Centre > Physical measures > Spirometry
3140	Pregnant	Medical conditions	UK Biobank Assessment Centre > Verbal interview > Medical conditions
3143	Ankle spacing width	Bone-densitometry of heel	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
3144	Heel Broadband ultrasound attenuation, direct entry	Bone-densitometry of heel	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
3146	Speed of sound through heel	Bone-densitometry of heel	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
3147	Heel quantitative ultrasound index (QUI), direct entry	Bone-densitometry of heel	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
3148	Heel bone mineral density (BMD)	Bone-densitometry of heel	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
3159	Smoked cigarette or pipe within last hour	Spirometry	UK Biobank Assessment Centre > Physical measures > Spirometry
3160	Weight, manual entry	Anthropometry	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
3166	Time blood sample collected	Biological sampling	UK Biobank Assessment Centre > Biological sampling > Blood sample collection
3393	Hearing aid user	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Hearing
3404	Neck/shoulder pain for 3+ months	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Pain
3414	Hip pain for 3+ months	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Pain
3426	Job involves night shift work	Sociodemographics	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment
3436	Age started smoking in current smokers	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
3446	Type of tobacco currently smoked	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
3456	Number of cigarettes currently smoked daily (current cigarette smokers)	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
3466	Time from waking to first cigarette	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
3476	Difficulty not smoking for 1 day	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
3486	Ever tried to stop smoking	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
3496	Wants to stop smoking	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
3506	Smoking compared to 10 years previous	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
3526	Mother's age at death	Family history	UK Biobank Assessment Centre > Touchscreen > Family history
3536	Age started hormone-replacement therapy (HRT)	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
3546	Age last used hormone-replacement therapy (HRT)	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
3571	Back pain for 3+ months	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Pain
3581	Age at menopause (last menstrual period)	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
3591	Ever had hysterectomy (womb removed)	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
3606	Chest pain or discomfort walking normally	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Chest pain
3616	Chest pain due to walking ceases when standing still	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Chest pain
3627	Age angina diagnosed	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
3637	Frequency of other exercises in last 4 weeks	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity
3647	Duration of other exercises	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity
3659	Year immigrated to UK (United Kingdom)	Sociodemographics	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Ethnicity
3669	Lifetime number of same-sex sexual partners	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors
3680	Age when last ate meat	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
3700	Time since last menstrual period	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
3710	Length of menstrual cycle	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
3720	Menstruating today	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
3731	Former alcohol drinker	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol
3741	Stomach/abdominal pain for 3+ months	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Pain
3751	Chest pain or discomfort when walking uphill or hurrying	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Chest pain
3761	Age hay fever, rhinitis or eczema diagnosed	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
3773	Knee pain for 3+ months	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Pain
3786	Age asthma diagnosed	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
3799	Headaches for 3+ months	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Pain
3809	Time since last prostate specific antigen (PSA) test	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Cancer screening
3829	Number of stillbirths	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
3839	Number of spontaneous miscarriages	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
3849	Number of pregnancy terminations	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
3859	Reason former drinker stopped drinking alcohol	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol
